269,安琪拉魔法屋,新竹市長春街40巷10號,24.785752 ,121.014641
270,老窩咖啡LAOO Caf',新竹市寶山路438號,24.786147 ,120.988240
271,蘇格貓底二手書咖啡屋,新竹市光復路二段101號,24.798089 ,120.991017
272,柑仔店-帝國店,新竹市光復路二段295號B1(帝國大夏),24.800000 ,120.989131
273,綠芳園咖啡庭園餐廳,新竹市民權路232號,24.812984 ,120.971736
274,夏卡瓦咖啡餐廳,新竹市三民路105號1樓,24.809943 ,120.978098
275,Jade Dcor尼奧家飾,新竹市東區綠水里學府路375之3號一樓,24.799241 ,120.986195
276,LeiLei咖啡館(蕾蕾),新竹市世界街154號,24.807187 ,120.966642
277,進益摃丸文化會館,新竹市北門街31號,24.805622 ,120.965880
278,新竹‧好日手作咖啡雜貨,新竹市三民路12號,24.807243 ,120.973377
279,自由者咖啡館,新竹市科學園路205-2號,24.780968 ,121.011421
280,墨咖啡,新竹市林森路180號,24.799238 ,120.964369
281,直達咖啡,新竹市光復路1段544巷9弄14樓,24.787751 ,121.010563
282,巷弄田園咖啡,新竹市東大路二段605巷50號,24.821283 ,120.957564
283,佈拉諾咖啡館,新竹市三民路40號,24.807750 ,120.974030
284,茉莉小鎮,新竹市博愛街114號,24.799303 ,120.982014
285,卡巴尼那義大利老媽鄉村餐坊,新竹市東大路二段73號,24.813120 ,120.967796
286,提亞摩義式窯烤餐廳,新竹市三民路92號1樓,24.808335 ,120.975687
287,貝克里麵包專門店,新竹市西大路429號,24.804039 ,120.963906
288,班多尼翁咖啡館,新竹市忠孝路279號之3,24.804938 ,120.985958
289,白色小舖,新竹市建美路52號,24.802165 ,120.998068
290,Living One篤行館,新竹市篤行路1號,24.768589 ,121.024354
291,布蕾咖啡,新竹市長春街64巷2號,24.786128 ,121.015027
292,人文年代咖啡館,新竹市北大路140號,24.810285 ,120.968379
293,法芙嵐法式烘焙,新竹市仁愛街87巷1號,24.808592 ,120.969923
294,在水一方景觀餐廳,新竹市明湖路1075巷80-1號,24.773850 ,120.970958
